"","session_ID","island_code","site_code","lat","long","month","day","year","start","end"
"1","19940616_SBI_AP","SBI","AP",33.487622,-119.028535,6,16,1994,1994-06-17 01:36:00,1994-06-17 02:40:00
"2","19940712_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,12,1994,1994-07-12 23:35:00,1994-07-13 02:35:00
"3","20040815_SBI_AP","SBI","AP",33.487622,-119.028535,8,15,2004,2004-08-15 21:36:00,2004-08-16 01:34:00
"4","20040816_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,16,2004,2004-08-16 21:00:00,2004-08-17 02:37:00
"5","20040623_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,23,2004,2004-06-23 21:30:00,2004-06-24 03:10:00
"6","20040818_SCI_SR1","SCI","SR1",34.047666,-119.547674,8,18,2004,2004-08-18 20:51:00,2004-08-19 02:31:00
"7","20050801_SBI_AP","SBI","AP",33.487622,-119.028535,8,1,2005,2005-08-01 21:00:00,2005-08-02 02:04:00
"8","20050708_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,8,2005,2005-07-08 21:45:00,2005-07-09 03:00:00
"9","20050701_SMI_PI1","SMI","PI1",34.056323,-120.332024,7,1,2005,2005-07-01 22:23:00,2005-07-02 00:28:00
"10","20050807_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,7,2005,2005-08-07 21:00:00,2005-08-08 01:45:00
"11","20050531_SCI_SR1","SCI","SR1",34.047666,-119.547674,5,31,2005,2005-05-31 21:30:00,2005-06-01 02:00:00
"12","20050708_SCI_SR1","SCI","SR1",34.047666,-119.547674,7,8,2005,2005-07-08 21:35:00,2005-07-09 03:56:00
"13","20060429_SCI_SR1","SCI","SR1",34.047666,-119.547674,4,29,2006,2006-04-29 21:00:00,2006-04-30 02:01:00
"14","20060628_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,28,2006,2006-06-28 21:30:00,2006-06-29 02:00:00
"15","20090514_SBI_ESP","SBI","ESP",33.482528,-119.041599,5,14,2009,2009-05-14 21:52:00,2009-05-15 01:00:00
"16","20090822_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,22,2009,2009-08-22 21:55:00,2009-08-23 01:10:00
"17","20110829_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,29,2011,2011-08-29 22:00:00,2011-08-30 01:00:00
"18","20140821_SBI_AP","SBI","AP",33.487622,-119.028535,8,21,2014,2014-08-21 23:04:00,2014-08-22 02:10:00
"19","20140702_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,2,2014,2014-07-02 21:00:00,2014-07-03 01:00:00
"20","20140808_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,8,2014,2014-08-08 11:35:00,2014-08-09 03:30:00
"21","20150808_SBI_AP","SBI","AP",33.487622,-119.028535,8,8,2015,2015-08-08 20:25:00,2015-08-09 02:00:00
"22","20150911_SBI_ESP","SBI","ESP",33.482528,-119.041599,9,11,2015,2015-09-11 21:03:00,2015-09-12 00:47:00
"23","20150617_SMI_PI1","SMI","PI1",34.056323,-120.332024,6,17,2015,2015-06-17 20:50:00,2015-06-18 02:00:00
"24","20150713_SMI_PI1","SMI","PI1",34.056323,-120.332024,7,13,2015,2015-07-13 20:48:00,2015-07-14 02:00:00
"25","20150811_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,11,2015,2015-08-11 20:33:00,2015-08-12 02:00:00
"26","20150617_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,17,2015,2015-06-17 21:13:00,2015-06-18 02:00:00
"27","20160602_SBI_AP","SBI","AP",33.487622,-119.028535,6,2,2016,2016-06-02 21:00:00,2016-06-03 02:05:00
"28","20160804_SBI_AP","SBI","AP",33.487622,-119.028535,8,4,2016,2016-08-04 20:31:00,2016-08-05 00:00:00
"29","20160507_SBI_ESP","SBI","ESP",33.482528,-119.041599,5,7,2016,2016-05-07 22:01:00,2016-05-08 01:56:00
"30","20160712_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,12,2016,2016-07-12 21:02:00,2016-07-13 02:00:00
"31","20160504_SMI_PI1","SMI","PI1",34.056323,-120.332024,5,4,2016,2016-05-04 20:00:00,2016-05-05 02:00:00
"32","20160705_SMI_PI1","SMI","PI1",34.056323,-120.332024,7,5,2016,2016-07-05 20:45:00,2016-07-06 01:50:00
"33","20160806_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,6,2016,2016-08-06 20:25:00,2016-08-07 01:25:00
"34","20160504_SCI_SR1","SCI","SR1",34.047666,-119.547674,5,4,2016,2016-05-04 20:30:00,2016-05-05 01:51:00
"35","20160603_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,3,2016,2016-06-03 20:45:00,2016-06-04 02:00:00
"36","20160730_SCI_SR1","SCI","SR1",34.047666,-119.547674,7,30,2016,2016-07-30 21:30:00,2016-07-31 02:02:00
"37","20170622_SBI_AP","SBI","AP",33.487622,-119.028535,6,22,2017,2017-06-22 20:30:00,2017-06-23 02:00:00
"38","20170526_SBI_ESP","SBI","ESP",33.482528,-119.041599,5,26,2017,2017-05-26 21:00:00,2017-05-27 02:00:00
"39","20170620_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,20,2017,2017-06-20 21:15:00,2017-06-21 00:00:00
"40","20180813_SBI_AP","SBI","AP",33.487622,-119.028535,8,13,2018,2018-08-13 21:10:00,2018-08-14 02:10:00
"41","20180707_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,7,2018,2018-07-07 21:00:00,2018-07-08 02:00:00
"42","20180612_SMI_PI1","SMI","PI1",34.056323,-120.332024,6,12,2018,2018-06-12 20:55:00,2018-06-13 02:00:00
"43","20180809_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,9,2018,2018-08-09 20:40:00,2018-08-10 02:01:00
"44","20180613_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,13,2018,2018-06-13 09:00:00,2018-06-14 02:02:00
"45","20180808_SCI_SR1","SCI","SR1",34.047666,-119.547674,8,8,2018,2018-08-08 21:02:00,2018-08-09 02:00:00
